fid,NDVI_MEAN,NDVI_SHARE,GREEN_M2,NDVI_PX
749,0.082,0.0,0.0,14
750,0.067,0.0,0.0,16
751,0.061,0.0,0.0,17
752,0.061,0.0,0.0,17
753,0.062,0.0,0.0,17
754,0.06,0.0,0.0,16
755,0.062,0.0,0.0,17
756,0.06,0.0,0.0,16
757,0.051,0.0,0.0,15
758,0.052,0.0,0.0,17
759,0.048,0.0,0.0,16
760,0.059,0.0,0.0,16
761,0.057,0.0,0.0,14
762,0.052,0.0,0.0,16
763,0.05,0.0,0.0,15
764,0.051,0.0,0.0,17
765,0.048,0.0,0.0,17
766,0.051,0.0,0.0,17
767,0.046,0.0,0.0,16
768,0.05,0.0,0.0,16
769,0.059,0.0,0.0,15
770,0.062,0.0,0.0,16
771,0.067,0.0,0.0,14
772,0.071,0.0,0.0,15
773,0.079,0.0,0.0,15
774,0.087,0.0,0.0,17
775,0.08,0.0,0.0,17
776,0.071,0.0,0.0,18
777,0.062,0.0,0.0,16
778,0.059,0.0,0.0,17
779,0.069,0.0,0.0,17
780,0.065,0.0,0.0,18
781,0.057,0.0,0.0,16
782,0.055,0.0,0.0,13
783,0.068,0.0,0.0,15
784,0.08,0.0,0.0,17
785,0.057,0.0,0.0,18
786,0.063,0.0,0.0,16
787,0.051,0.0,0.0,16
788,0.06,0.0,0.0,15
789,0.04,0.0,0.0,15
790,0.02,0.0,0.0,17
791,0.067,0.0,0.0,16
792,0.058,0.0,0.0,16
793,0.064,0.0,0.0,15
794,0.075,0.0,0.0,15
795,0.037,0.0,0.0,16
796,0.072,0.0,0.0,16
797,0.068,0.0,0.0,14
798,0.058,0.0,0.0,14
799,0.059,0.0,0.0,16
800,0.065,0.0,0.0,16
801,0.022,0.0,0.0,17
802,0.062,0.0,0.0,15
803,0.012,0.0,0.0,15
804,0.063,0.0,0.0,16
805,0.073,0.0,0.0,16
806,0.067,0.0,0.0,17
807,0.054,0.0,0.0,16
808,0.055,0.0,0.0,15
809,0.064,0.0,0.0,16
810,0.057,0.0,0.0,16
811,0.063,0.0,0.0,15
812,0.062,0.0,0.0,14
813,0.071,0.0,0.0,16
814,0.073,0.0,0.0,17
815,0.081,0.0,0.0,17
816,0.085,0.0,0.0,17
817,0.074,0.0,0.0,16
818,0.068,0.0,0.0,13
819,0.065,0.0,0.0,18
