PIPE_ID,CATCH,TIER,ROLE,DN_MM,LEN_M,SLOPE_PCT,Q_LOW_LS,V_LOW_MS,S_MARA_PCT,CONNECTED_2030,WHY
P07811,C03,secondary main sewer,lateral,200,262.6,0.5,0.183,0.215,1.232,2.0,below Mara's slope
P07812,C05,secondary main sewer,lateral,200,110.6,0.5,0.083,0.166,1.773,0.1,below Mara's slope
P07814,C125,secondary main sewer,lateral,200,177.7,0.5,0.104,0.179,1.595,0.9,below Mara's slope
P07815,C125,secondary main sewer,lateral,200,106.1,0.5,0.047,0.136,2.315,0.2,below Mara's slope
P07816,C03,secondary header,sub main,200,85.1,0.5,0.393,0.276,0.866,7.4,below Mara's slope
P07817,C03,secondary header,sub main,200,87.5,0.5,0.394,0.276,0.864,7.5,below Mara's slope
P07818,C05,secondary header,sub main,200,465.4,0.5,0.378,0.273,0.881,7.1,below Mara's slope
P07819,C05,secondary header,sub main,200,548.4,0.5,0.764,0.34,0.637,17.1,below Mara's slope
P07820,C05,secondary header,sub main,200,25.2,0.5,0.397,0.277,0.862,6.5,below Mara's slope
P07821,C01,secondary main sewer,lateral,200,81.7,0.5,0.297,0.252,0.986,3.7,below Mara's slope
P07822,C01,secondary main sewer,lateral,200,83.6,0.5,0.393,0.276,0.865,6.4,below Mara's slope
P07823,C01,secondary main sewer,lateral,200,75.0,0.5,0.469,0.292,0.798,8.8,below Mara's slope
P07824,C115,secondary main sewer,lateral,200,85.0,0.5,0.089,0.17,1.718,0.7,below Mara's slope
P07825,C115,secondary main sewer,lateral,200,139.9,0.5,0.089,0.17,1.718,0.7,below Mara's slope
P07826,C01,secondary main sewer,lateral,200,127.1,0.5,0.527,0.303,0.756,10.8,below Mara's slope
P07827,C01,secondary main sewer,lateral,200,42.3,0.5,0.573,0.311,0.728,13.8,below Mara's slope
P07828,C75,secondary header,sub main,200,119.2,0.5,0.547,0.306,0.743,12.2,below Mara's slope
P07829,C03,secondary main sewer,lateral,200,80.0,0.5,0.487,0.295,0.784,10.2,below Mara's slope
P07830,C75,secondary header,sub main,200,37.6,0.5,0.437,0.285,0.825,8.6,below Mara's slope
P07831,C75,secondary header,sub main,200,84.2,0.5,0.328,0.26,0.941,5.3,below Mara's slope
P07832,C03,secondary header,sub main,200,304.9,0.5,0.8,0.345,0.624,18.0,below Mara's slope
P07833,C05,secondary header,sub main,200,77.4,0.5,0.95,0.364,0.576,24.3,below Mara's slope
P07834,C05,secondary header,sub main,200,79.6,0.5,0.254,0.24,1.058,3.4,below Mara's slope
P07835,C05,secondary header,sub main,200,236.0,0.5,0.432,0.284,0.829,8.4,below Mara's slope
P07836,C03,secondary header,sub main,200,83.2,0.5,0.634,0.321,0.694,14.6,below Mara's slope
P07838,C01,secondary main sewer,lateral,200,95.1,0.5,0.307,0.255,0.97,5.2,below Mara's slope
P07839,C08,secondary main sewer,lateral,200,44.9,0.5,0.069,0.155,1.935,0.6,below Mara's slope
P07840,C03,secondary header,sub main,200,464.8,0.5,0.749,0.338,0.643,15.8,below Mara's slope
P07841,C03,secondary header,sub main,200,80.6,0.5,0.431,0.284,0.83,8.5,below Mara's slope
P07842,C75,secondary main sewer,lateral,200,49.1,0.5,0.057,0.146,2.103,0.2,below Mara's slope
P07843,C115,secondary main sewer,lateral,200,43.0,0.5,0.0,0.0,,0.0,no flow in 2030
P07844,C53,secondary main sewer,lateral,200,106.1,0.5,0.111,0.183,1.55,1.0,below Mara's slope
P07845,C53,secondary main sewer,lateral,200,157.1,0.5,0.097,0.174,1.652,0.8,below Mara's slope
P07846,C05,secondary header,sub main,200,84.1,0.5,0.848,0.352,0.607,17.8,below Mara's slope
P07847,C03,secondary main sewer,lateral,200,98.8,0.8,0.263,0.285,1.042,3.8,below Mara's slope
P07852,C05,secondary header,sub main,200,58.7,0.5,0.402,0.278,0.857,6.6,below Mara's slope
P07853,C75,secondary header,sub main,200,100.4,0.5,1.039,0.374,0.553,30.2,below Mara's slope
P07855,C03,secondary main sewer,lateral,200,108.5,0.5,0.278,0.247,1.016,3.8,below Mara's slope
P07856,C03,secondary main sewer,lateral,200,81.9,0.5,0.2,0.222,1.182,2.3,below Mara's slope
