node,depth,recover_m,best_depth,q
21378,14.395293004046437,575.7582661458587,1.6,35.27187699923658
19337,12.482923254136324,83.44450630226976,1.6,30.8054785569168
19323,31.056955365112515,344.2209138208263,1.6,0.0
20823,12.376986412960889,48.2628364798094,1.6,176.23094357754346
19261,19.14255853288455,213.24138013552192,1.6,0.0
20426,14.68567545347679,53.81512577369379,1.6,1.079781248
19200,12.854821724098827,22.602312776765874,1.65,521.5410324445265
19167,13.20797992744781,33.926551968514325,1.6,239.33897185128694
24326,12.607028314678871,190.06298874983273,1.6,203.80813197634657
19138,13.21013568077035,100.59933487957265,1.6,257.32711079123663
24061,12.301803008795957,3.999999999911125,0.8542171380461241,2363.926624069486
8055,12.339944883071666,430.5872138281655,1.65,492.0532376019976
18898,15.063629351757527,76.28377264500259,-1.7597525288439897,258.4019467328068
23214,13.382557771364418,70.18293173612393,1.65,684.9507528037358
18915,15.10256100757465,71.35198739459094,1.6,59.0507959112366
18919,12.292907460733261,574.6842173626017,1.6,110.05930505148129
18539,12.72757616562717,420.58828848697743,1.6,62.42544396341812
18834,18.790340063704264,3.9999999999050466,1.6,40.485863936
25193,12.55325274694161,3.9999999393932537,1.6,26.323789160707783
18497,20.366508943307338,670.9543857074518,1.6,238.4648395561828
21418,12.467961590217897,589.385662668152,1.6,127.40332205523656
18821,18.571060321427012,1011.7662932383399,1.6,127.40332205523656
4979,15.03619767981985,101.94833035561581,1.715,990.786620356396
19340,12.139007041448679,46.832579215010675,1.6,68.166222095978
21181,41.24086183028294,4.000000000020781,1.6,0.0
20832,12.41587915196709,37.3438518619448,1.6,147.78180463688727
18495,14.727457703064317,303.9070189322449,1.8,1330.8872462072782
18775,12.452077616047518,35.84460817987945,1.6,177.55984957212382
3285,12.326266750717934,333.78774922096693,1.6,47.27894170889682
193,12.858924647667095,126.3869567655057,1.6,2.159562496
13797,13.974247345877473,198.4581133915658,1.6,8.400983054443639
19866,17.00845910229515,4.000000000094519,1.6,8.157688000000002
18692,12.765023465923434,374.19950282987526,1.65,539.1226754159777
