FEATUREID,PKG,TIER,props_up,len_up_m,qadf_m3d,pf,qpk_ls,od_built_mm,dn_our_rules,slope_built_pct,slope_req_pct,slope_ratio,dod_built,v_built_ms,surcharged,dod_limit,over_dod,under_self_cleansing,over_vmax,depth_ds_m
L012172,5A-5,lateral,34.0,337.4,29.36,3.57,1.21,160,200,0.601,0.5,1.2,0.215,0.43,0,0.65,0,1,0,2.781000000000006
L012171,5A-5,lateral,30.0,297.5,25.91,3.57,1.07,160,200,0.599,0.5,1.2,0.203,0.414,0,0.65,0,1,0,3.030999999999949
L012096,5A-5,sub_main,176.0,4054.2,153.66,3.32,5.91,160,200,0.41,0.5,0.82,0.554,0.584,0,0.65,0,1,0,4.879999999999995
L012097,5A-5,sub_main,142.0,3638.1,124.24,3.41,4.9,160,200,0.408,0.5,0.82,0.496,0.557,0,0.65,0,1,0,4.230000000000018
L012225,5A-5,lateral,34.0,377.1,29.39,3.57,1.21,160,200,0.602,0.5,1.2,0.215,0.431,0,0.65,0,1,0,3.180000000000007
L011673,5A-5,sub_main,140.0,3603.8,122.5,3.42,4.84,160,200,0.4,0.5,0.8,0.495,0.551,0,0.65,0,1,0,4.919999999999959
L011672,5A-5,sub_main,107.0,2762.1,93.63,3.53,3.82,160,200,0.397,0.5,0.79,0.434,0.516,0,0.65,0,1,0,4.620000000000005
L012228,5A-5,lateral,28.0,806.7,24.56,3.57,1.01,160,200,0.714,0.5,1.43,0.189,0.433,0,0.65,0,1,0,2.54000000000002
L011671,5A-5,sub_main,104.0,2734.4,91.04,3.54,3.73,160,200,0.389,0.5,0.78,0.43,0.509,0,0.65,0,1,0,4.359999999999957
L011701,5A-5,lateral,28.0,784.0,24.55,3.57,1.01,160,200,0.712,0.5,1.42,0.189,0.433,0,0.65,0,1,0,1.70799999999997
L011670,5A-5,sub_main,103.0,2698.4,90.16,3.55,3.7,160,200,0.393,0.5,0.79,0.427,0.51,0,0.65,0,1,0,3.829999999999984
L012229,5A-5,lateral,28.0,759.5,24.53,3.57,1.01,160,200,0.714,0.5,1.43,0.189,0.433,0,0.65,0,1,0,2.213999999999999
L012087,5A-5,sub_main,190.0,4358.3,165.87,3.29,6.32,160,200,0.384,0.5,0.77,0.59,0.578,0,0.65,0,1,0,4.759999999999991
