DEPTH_M,EXC_M,STATUS,MAXDEPTH_NOPS,recover_m,best_depth,q,diff
12.727,684.1,REBREACH,12.73,548.7289733444436,1.6,132.5060384609421,135.39999999999998
12.728,420.6,REBREACH,12.73,420.58828848697743,1.6,62.42544396341812,0.0
12.74,188.5,REBREACH,13.65,93.7908777776029,1.65,516.855002769665,94.7
12.744,93.8,REBREACH,12.82,18.22445430967801,1.6,22.33723296,75.6
12.76,767.8,CONVERGED,12.76,374.19950282987526,1.65,539.1226754159777,393.59999999999997
12.765,374.2,REBREACH,14.1,4.4984252493931605,1.6,213.6100025260165,369.7
12.769,4.5,REBREACH,12.77,92.280591300159,1.6,159.92808434744762,87.8
12.78,92.3,REBREACH,14.46,91.85604747608758,1.6,36.20238375844364,0.3999999999999915
12.786,91.9,REBREACH,13.73,47.89207763376787,1.6,322.51190209748927,44.00000000000001
12.812,47.9,REBREACH,13.41,22.602312776765874,1.65,521.5410324445265,25.299999999999997
12.855,22.6,REBREACH,13.15,126.3869567655057,1.6,2.159562496,103.80000000000001
12.859,126.4,REBREACH,13.52,34.44091892402636,1.6,177.76869085313496,92.0
12.912,34.4,REBREACH,13.36,74.65877540567328,1.6,50.04132257597801,40.300000000000004
12.915,74.7,REBREACH,13.83,188.4948741841104,2.1,5492.0856317206535,113.8
12.966,53.4,REBREACH,12.97,53.44968467667396,1.6,35.066773839978,0.0
12.99,311.2,REBREACH,15.84,311.2338931225843,1.6,30.405928000000003,0.0
13.02,13.5,REBREACH,13.29,13.529631389803896,1.9,2102.186156225768,0.0
13.032,991.8,REBREACH,13.03,195.965719547334,1.6,246.0996132302884,795.8
13.043,2500.0,CONVERGED,13.04,1256.5583054854542,1.2182365361197185,17720.729035474567,1243.4
13.059,280.8,REBREACH,14.97,280.8318652147672,1.6,38.87575462980105,0.0
13.074,838.5,REBREACH,13.07,838.4889542802614,1.6,279.26190951847315,0.0
13.106,155.9,REBREACH,14.26,155.85235119326643,1.6,17.726987122884726,0.0
13.112,4.3,REBREACH,13.16,4.3002091428933165,1.6,11.266508736,0.0
13.126,207.8,REBREACH,15.17,207.79806552635628,1.6,132.28523412030674,0.0
13.127,5539.0,CONVERGED,13.13,684.1535237260393,-10.795509992557813,5973.232334201235,4854.8
13.18,912.2,REBREACH,16.66,105.6202714499453,1.6,14.701636992,806.6
13.188,63.0,REBREACH,13.29,62.951982111158586,1.6,17.20451452792647,0.0
13.189,340.3,REBREACH,15.21,340.33085626195435,2.0,3165.404140659535,0.0
13.208,33.9,REBREACH,13.31,33.926551968514325,1.6,239.3389718512869,0.0
13.21,100.6,REBREACH,14.19,100.59933487957264,1.6,257.32711079123663,0.0
13.217,95.5,REBREACH,13.63,95.4921096327345,1.6,10.655423744,0.0
13.219,7.1,REBREACH,13.22,7.088396681766567,1.65,466.0336137259869,0.0
13.264,369.7,CONVERGED,13.26,369.74093686759727,1.6,11.865728,0.0
13.285,97.6,REBREACH,14.5,97.57297001413762,1.6,160.72040312262652,0.0
13.382,1806.1,CONVERGED,13.38,369.8959468858389,2.0,3519.18705345896,1436.1999999999998
