PLOT_ID,X,Y,REACH,STATION_M,SHORT_BY_M,CH_REQ,ISSUE
1117693,457106.1657894465,2571848.691660049,E0029998,4.91,0.13,R00389,beyond the 45 m tertiary run
1117694,457086.19467161305,2571863.7309056763,E0029998,29.91,25.05,R00390,beyond the 45 m tertiary run
1117777,456972.3163317724,2571644.1174971405,E0026639,18.86,17.46,R00314,beyond the 45 m tertiary run
1117821,457045.5874424108,2571459.938591606,E0025684,15.19,13.52,R00297,beyond the 45 m tertiary run
1117979,454355.97788195556,2571172.4521353436,E0023908,27.43,23.65,R00268,beyond the 45 m tertiary run
1117980,454354.52685369167,2571156.8636187343,E0023908,11.77,8.73,R00267,beyond the 45 m tertiary run
1117981,454356.50286032824,2571178.0920214057,E0023908,33.09,9.09,R00268,beyond the 45 m tertiary run
1118028,455492.05797113385,2570387.802042682,E0031667,34.43,1.9,R00425,beyond the 45 m tertiary run
1118037,454974.356711916,2570741.298007498,E0028755,29.26,21.26,R00365,beyond the 45 m tertiary run
1118052,457648.6420130316,2570884.5324453795,E0025105,40.89,29.44,R00289,beyond the 45 m tertiary run
1118056,457428.3103209688,2570854.221038705,E0026467,38.58,21.72,R00312,beyond the 45 m tertiary run
1118094,459640.3353574858,2569597.3147463356,E0028684,29.9,29.69,R00362,beyond the 45 m tertiary run
1118160,459390.24570648914,2570002.839842214,E0029891,33.12,26.31,R00385,beyond the 45 m tertiary run
1118307,462887.6909195294,2570354.295164611,E0037423,26.41,23.86,R00544,beyond the 45 m tertiary run
1118308,462773.9696823724,2570229.0026542037,E0037117,39.08,34.33,R00535,beyond the 45 m tertiary run
1118333,462753.3038523432,2569978.602392331,E0036382,44.99,28.46,R00513,beyond the 45 m tertiary run
1118358,462428.2616921115,2569846.101222907,E0035577,25.66,23.59,R00497,beyond the 45 m tertiary run
1118498,462005.0896684589,2570280.241353085,E0035606,14.47,11.43,R00499,beyond the 45 m tertiary run
1118503,461946.94647892605,2570065.3728398434,E0034565,40.03,2.41,R00475,beyond the 45 m tertiary run
1118538,461804.36076016526,2570525.0606223345,E0036410,40.96,38.9,R00519,beyond the 45 m tertiary run
1118598,462228.8276938668,2570916.8582006167,E0038699,39.07,37.53,R00580,beyond the 45 m tertiary run
1118599,462180.8057421895,2570846.7261161837,E0038700,44.07,33.65,R00582,beyond the 45 m tertiary run
1118605,461957.53544194694,2571154.1791313505,E0038706,24.02,22.45,R00583,beyond the 45 m tertiary run
1118664,461186.11322897626,2570196.360365997,E0033740,20.28,19.97,R00459,beyond the 45 m tertiary run
1118666,461254.885394188,2570146.429393341,E0033739,15.29,13.36,R00457,beyond the 45 m tertiary run
1118694,461468.88594203704,2569971.3214218826,E0034583,19.01,18.08,R00478,beyond the 45 m tertiary run
1118695,461457.2176152588,2569955.080116205,E0034583,39.01,37.79,R00479,beyond the 45 m tertiary run
1118698,461431.2268874517,2570218.082692125,E0034582,11.48,9.46,R00477,beyond the 45 m tertiary run
1118702,461425.4662478367,2570131.094586599,E0034589,48.52,29.54,R00481,beyond the 45 m tertiary run
1118710,461376.83781033085,2571268.0554252197,E0037649,53.08,14.47,R00556,beyond the 45 m tertiary run
1118767,461054.94023660594,2570491.0160261127,E0033276,57.9,18.42,R00444,beyond the 45 m tertiary run
1118773,461087.2688716867,2570317.492429119,E0033287,35.24,33.28,R00446,beyond the 45 m tertiary run
1118853,460301.38237082167,2570902.620563227,E0033234,8.85,5.52,R00442,beyond the 45 m tertiary run
1118974,455655.1555653524,2568027.313187375,E0020410,42.43,1.11,R00194,beyond the 45 m tertiary run
1118993,460617.52588306053,2571528.16705584,E0036745,43.11,38.93,R00527,beyond the 45 m tertiary run
1119070,460574.3903699691,2569561.1198636903,E0032078,17.63,8.32,R00431,beyond the 45 m tertiary run
1119086,460599.6385998701,2568998.997353762,E0031546,10.12,9.05,R00422,beyond the 45 m tertiary run
1119110,459721.38244805613,2568182.7288602716,E0026289,41.06,36.16,R00303,beyond the 45 m tertiary run
1119120,459830.6141245692,2568280.9765231647,E0026327,40.06,39.58,R00308,beyond the 45 m tertiary run
1119136,460136.5441678815,2569379.4578895993,E0029872,17.52,15.29,R00384,beyond the 45 m tertiary run
1119141,460297.2083613151,2569152.3936396255,E0030402,69.37,16.29,R00399,beyond the 45 m tertiary run
1119161,460504.34600948985,2568865.4403848853,E0030970,38.53,36.58,R00411,beyond the 45 m tertiary run
1119177,460207.7403741659,2568528.92741887,E0026877,28.0,22.82,R00322,beyond the 45 m tertiary run
1119208,460355.3976875062,2568843.617854021,E0030393,9.87,7.45,R00396,beyond the 45 m tertiary run
1119223,460996.69225459,2569320.182451832,E0034100,40.29,3.93,R00462,beyond the 45 m tertiary run
1119234,460389.01922460657,2569552.772646925,E0031560,13.11,11.29,R00423,beyond the 45 m tertiary run
1119250,460070.04843425436,2569693.935837859,E0030388,6.6,6.28,R00395,beyond the 45 m tertiary run
1119255,460140.31356080197,2569614.8759388467,E0029859,45.7,32.21,R00381,beyond the 45 m tertiary run
1119256,460117.9812646854,2569559.1857254095,E0029860,25.7,23.66,R00382,beyond the 45 m tertiary run
