fid,tariff,x,y,lon,lat,plot_name,plot_class,moh_class,build_st
33935,CRT Seasonal,56.5,23.2,56.475085,23.185559,Commercial,Residential,0,EXisting
33960,CRT Seasonal,56.5,23.3,56.534339,23.283464,Government,Agricultural,4,EXisting
33961,CRT Time of Use,56.5,23.1,56.466874,23.135404,,,,
33962,CRT Time of Use,56.5,23.2,56.472728,23.20137,,,,
33963,CRT Time of Use,56.4,23.3,56.380926,23.282817,,,,
33964,CRT Time of Use,56.5,23.2,56.538587,23.245412,,,,
33965,CRT Time of Use,56.5,23.2,56.495879,23.227015,,,,
33966,CRT Time of Use,56.5,23.2,56.49258,23.217424,Commercial,Residential,0,EXisting
33967,CRT Seasonal,56.5,23.2,56.45374,23.219311,,,,
33968,CRT Time of Use,56.4,23.2,56.433161,23.228914,,,,
33969,CRT Time of Use,56.5,23.1,56.472765,23.133578,,,,
33970,CRT Time of Use,56.6,23.2,56.570185,23.249177,CRT Time of Use,Residential,1,EXisting
